%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.names0,field.names1,field.names2,field.names3,field.names4,field.names5,field.names6
158697391700274380,25,158697391700274380,,-0.00758244997227,0.0296549052037,-0.913871992744,0.0169462800702,0.999169635655,0.0101729255681,0.0356282636587,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697391730578405,26,158697391730578405,,-0.00758707485051,0.0296612665639,-0.913872596341,0.0169504638957,0.999170666835,0.0101549109696,0.0356024509999,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697391760882430,27,158697391760882430,,-0.00757221952819,0.0296723787098,-0.913871174854,0.016953303878,0.999168674834,0.0102117321047,0.0356407741256,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697391791186455,28,158697391791186455,,-0.00758873856344,0.0296678067305,-0.913871869038,0.0169577469105,0.999170617457,0.0101477604339,0.0356024269787,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697391821490480,29,158697391821490480,,-0.00760246097555,0.0296550310079,-0.913872643953,0.0169476061892,0.999170882432,0.0101253086852,0.0356061439097,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697391851794505,30,158697391851794505,,-0.00759216758509,0.0296725261491,-0.913871812567,0.0169614231901,0.999171075634,0.0101065104906,0.0355995120156,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697391882098530,31,158697391882098530,,-0.0076012224664,0.0296655396785,-0.913872459748,0.0169566808906,0.999171208534,0.0101457311875,0.0355869378355,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697391912402555,32,158697391912402555,,-0.00758654543949,0.0296555763718,-0.913871991571,0.0169502303296,0.999170484198,0.0101175347047,0.0356183561041,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697391942706580,33,158697391942706580,,-0.00758747531507,0.029666257217,-0.913871902857,0.0169611920096,0.999170566259,0.0101858223019,0.0355913451587,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697391973010605,34,158697391973010605,,-0.00759027215782,0.0296570577668,-0.913873005753,0.0169536165946,0.999170970378,0.0102037109067,0.0355784887847,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392003314630,35,158697392003314630,,-0.00757109179717,0.0296726812633,-0.913871021465,0.0169648744072,0.999170756128,0.0100956350116,0.0356099562404,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392033618655,36,158697392033618655,,-0.00757078447625,0.0296646236476,-0.913870773889,0.016953235126,0.999170260352,0.0101174707077,0.0356232242177,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392063922680,37,158697392063922680,,-0.00757324089255,0.0296691590462,-0.913871426857,0.0169533178107,0.999170055135,0.01014344499,0.0356215318208,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392094226705,38,158697392094226705,,-0.00757583461013,0.0296637756677,-0.913872049019,0.0169526363404,0.999170457541,0.0101468246831,0.0356095925468,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392124530730,39,158697392124530730,,-0.00757279443754,0.0296459157558,-0.913871908426,0.016939920411,0.999169114981,0.0101856522138,0.0356422338561,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392154834755,40,158697392154834755,,-0.0075655028885,0.0296488266829,-0.913871564615,0.0169418515887,0.999168866993,0.0101825058558,0.0356491481968,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392185138780,41,158697392185138780,,-0.00757203108619,0.0296586556544,-0.913871853929,0.0169478971187,0.999169294801,0.0101653000175,0.0356392081747,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392215442805,42,158697392215442805,,-0.00757557468007,0.0296586411149,-0.913871721873,0.0169542014028,0.999170649825,0.0101018482375,0.0356162615411,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392245746830,43,158697392245746830,,-0.00757608041158,0.0296572960999,-0.913872685209,0.0169515096033,0.999170226231,0.0101665847347,0.0356109945233,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392276050855,44,158697392276050855,,-0.00759035980186,0.029660688394,-0.913871860591,0.0169476352136,0.999170051632,0.0101529606453,0.035621533065,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392306354880,45,158697392306354880,,-0.00758869859068,0.0296460400579,-0.913872935356,0.0169453943728,0.999171154436,0.0101298460108,0.035598317548,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392336658905,46,158697392336658905,,-0.007586254507,0.0296734718647,-0.913871219354,0.016959333974,0.999170518239,0.0101334761665,0.0356084984426,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697392366962930,47,158697392366962930,,-0.00757654292173,0.0296590567755,-0.913872021913,0.0169489291472,0.999170114977,0.0101234421942,0.0356276224356,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
